Session identifier;38155;0,197708333; 14:31:52;;;;;;;
?q?1?h?;?A???O??????AS;;;;;;;;;
F;75450;59|D?Qu?Pw2?1???????G;98994;60;13:18:0;51.452.176.667;5.4???33333;8;A;9292
"97??7>>	:8->6";;;;;;;;;;
99;-76;;;;;;;;;
100;-75;;;;;;;;;
101;-1Rm;;;;;;;;;
102;-73;;;;;;;;;
103;-73;;;;;;;;;
104;-72;;;;;;;;;
105;-70;;;;;;;;;
106;-69;;;;;;;;;
107;-68;;;;;;;;;
108;-67;;;;;;;;;
109;-67;;;;;;;;;
110;-67;;;;;;;;;
111;-67;;;;;;;;;
112;-67;;;;;;;;;
113;-68;;;;;;;;;
114;-67;;;;;;;;;
115;-69;;;;;;;;;
11v(i27f=17;65;;;;;;;;;
118;-67;;;;;;;;;
G;98994;60;13:33:18:0;51.452.176.667;5.486.633.333;8;A;9292;;
119;-68;;;;;;;;;
120;-67;;;;;;;;;
121;-67;;;;;;;;;
122;-67;;;;;;;;;
123;-68;;;;;;;;;
124;-68;;;;;;;;;
125;-67;;;;;;;;;
126;-72;;;;;;;;;
127;-66;;;;;;;;;
128;-63;;;;;;;;;
130;-68;;;;;;;;;
131;-76;;;;;;;;;
132;-70;;;;;;;;;
133;-77;;;;;;;;;
134;-73;;;;;;;;;
135;-72;;;;;;;;;
136;-66;;;;;;;;;
139;-74;;;;;;;;;
140;-???h??&p?W?-?d?l????V?;;;;;;;;;
"?d?;W?";;;;;;;;;;
B;33073;76;13:33:19:8;51.45138133;5.486.621.667;9;A;92;;
10;-100;;;;;;;;;
106;-101;;;;;;;;;
107;-10P;;;;;;;;;
108;-103;;;;;;;;;
109;-103;;;;;;;;;
115;-103;;;;;;;;;
511;-103;;;;;;;;;
11b|}403;;;;;;;;;;
114;-101;;;;;;;;;
115;-10#;;;;;;;;;
118;-99???ylm101;;;;;;;;;
qv1;-15r;;;;;;;;;
??ZL+W62;;;;;;;;;;
!??;-104;;;;;;;;;
128;-100;;;;;;;;;
!31;-101;;;;;;;;;
133<- 0 ;;;;;;;;;;
133;-104;;;;;;;;;
B;33073;76;13:33:19:8;51.451.348.333;5.486.621.667;9;A;92;;
134;-103;;;;;;;;;
135;-100;;;;;;;;;
13v;-102;;;;;;;;;
137;-103;;;;;;;;;
140;-101;;;;;;;;;
$15;-100;;;;;;;;;
14.-102;;;;;;;;;;
143;"-10""";;;;;;;;;
145;-102;;;;;;;;;
146;-101;;;;;;;;;
147;-101;;;;;;;;;
148;?99?;;;;;;;;;
1?9;-10Qm150;;102;;;;;;;
151;-97;;;;;;;;;
C;58977;72;13:33:21:0;51.451.371.667;5.485.870.000;10;A;9292;;
114;-101;;;;;;;;;
115;-101;;;;;;;;;
116;-102;;;;;;;;;
117;-98;;;;;;;;;
118;-103;;;;;;;;;
119;-99;;;;;;;;;
120;-100;;;;;;;;;
121;-99;;;;;;;;;
122;-101;;;;;;;;;
123;-100;;;;;;;;;
124;-100;;;;;;;;;
125;-100;;;;;;;;;
126;-101;;;;;;;;;
127;-99;;;;;;;;;
128;-99;;;;;;;;;
130;-102;;;;;;;;;
131;-100;;;;;;;;;
132;-99;;;;;;;;;
133;-101;;;;;;;;;
134;-99;;;;;;;;;
